Red Agrometeorológica de INIA,,agromet.inia.cl,,,
Estación,Azapa Medio,,,,
Habilitada el,21-03-2011,,,,
Generado,06-08-2018 11:37:25,,,,
,,,,,
#,FECHA/HORA,Temperatura del Aire (°C),Humedad Relativa (%),Velocidad del Viento (Km/h),Radiación Solar (W/m2)
1,01-01-2017 00:00,"17,4","71,2",0,0
2,01-01-2017 01:00,"16,5","73,6",0,0
3,01-01-2017 02:00,"17,2","73,3",0,0
4,01-01-2017 03:00,"17,3","73,9",0,0
5,01-01-2017 04:00,"17,6","72,8",0,0
6,01-01-2017 05:00,"17,9","72,1",0,0
7,01-01-2017 06:00,"18,2","71,3",0,"1,7"
8,01-01-2017 07:00,"18,8","69,8",0,"30,2"
9,01-01-2017 08:00,"20,6","61,2","0,4","161,7"
10,01-01-2017 09:00,"22,4","54,1","2,2","293,7"
11,01-01-2017 10:00,"24,5","47,8",5,"599,2"
12,01-01-2017 11:00,"26,9","42,2","6,8","848,9"
13,01-01-2017 12:00,"27,4","41,4","6,1","780,2"
14,01-01-2017 13:00,"28,8","37,5","8,3","923,5"
15,01-01-2017 14:00,"28,6","38,5","8,3",877
16,01-01-2017 15:00,"28,6","38,7","6,8","820,1"
17,01-01-2017 16:00,27,"43,3","7,6",394
18,01-01-2017 17:00,"24,6","50,3","7,2","205,5"
19,01-01-2017 18:00,"23,3","53,3","6,1","102,2"
20,01-01-2017 19:00,"22,2","57,1","4,3","27,4"
21,01-01-2017 20:00,21,"61,2","0,7",0
22,01-01-2017 21:00,"20,5","63,5","0,4",0
23,01-01-2017 22:00,"20,2","62,4","1,1",0
24,01-01-2017 23:00,"19,7",64,0,0
25,02-01-2017 00:00,"18,7","68,4",0,0
26,02-01-2017 01:00,"17,3","71,3",0,0
27,02-01-2017 02:00,16,"75,2",0,0
28,02-01-2017 03:00,16,"76,7",0,0
29,02-01-2017 04:00,"16,4","75,8",0,0
30,02-01-2017 05:00,"15,1","79,1",0,0
31,02-01-2017 06:00,"14,9","80,6",0,"9,6"
32,02-01-2017 07:00,"17,5","72,6",0,149
33,02-01-2017 08:00,"21,7","57,2","1,8","360,2"
34,02-01-2017 09:00,"24,2","49,6","3,2","590,3"
35,02-01-2017 10:00,"25,9","45,1","6,8","689,6"
36,02-01-2017 11:00,"27,3","41,2","6,8","853,6"
37,02-01-2017 12:00,"28,4","38,9","7,2","905,2"
38,02-01-2017 13:00,"28,9","38,5","7,2","926,5"
39,02-01-2017 14:00,29,"38,3","7,2","834,4"
40,02-01-2017 15:00,"28,7","39,3",9,"791,6"
41,02-01-2017 16:00,"27,6","42,8","8,3",619
42,02-01-2017 17:00,"26,4","45,7","8,3","405,7"
43,02-01-2017 18:00,"25,1","47,9","5,4","186,9"
44,02-01-2017 19:00,"22,5","55,8","3,2","18,1"
45,02-01-2017 20:00,"21,3","58,1","4,3",0
46,02-01-2017 21:00,"20,7",61,"2,2",0
47,02-01-2017 22:00,"19,2","65,6",0,0
48,02-01-2017 23:00,18,68,0,0
49,03-01-2017 00:00,17,"71,6",0,0
50,03-01-2017 01:00,16,"75,5",0,0
51,03-01-2017 02:00,"15,4",78,0,0
52,03-01-2017 03:00,"14,9","79,3",0,0
53,03-01-2017 04:00,"14,6","80,2",0,0
54,03-01-2017 05:00,"14,4","81,5",0,0
55,03-01-2017 06:00,"14,9","80,9",0,"11,6"
56,03-01-2017 07:00,"17,6","70,8","1,1","132,7"
57,03-01-2017 08:00,"21,5","58,4","1,8",335
58,03-01-2017 09:00,"24,2","50,5","2,9","534,9"
59,03-01-2017 10:00,"26,5",45,"5,4","670,7"
60,03-01-2017 11:00,"27,7","42,4","6,8","834,2"
61,03-01-2017 12:00,"28,9","39,1","7,2",906
62,03-01-2017 13:00,"29,4",38,"8,3",917
63,03-01-2017 14:00,29,"38,7",9,"866,5"
64,03-01-2017 15:00,"28,3","39,6","9,7","737,9"
65,03-01-2017 16:00,"27,5",41,"11,2","605,4"
66,03-01-2017 17:00,"25,8","45,5","7,9","359,7"
67,03-01-2017 18:00,"24,4","49,8","5,8","185,4"
68,03-01-2017 19:00,"22,3","56,6","2,2","27,7"
69,03-01-2017 20:00,"20,6","61,8","1,4",0
70,03-01-2017 21:00,"19,7","65,3","0,4",0
71,03-01-2017 22:00,"19,1","68,2","1,1",0
72,03-01-2017 23:00,"18,3","71,6",0,0
73,04-01-2017 00:00,"17,6","72,8",0,0
74,04-01-2017 01:00,"16,3","76,1",0,0
75,04-01-2017 02:00,"16,7","76,4",0,0
76,04-01-2017 03:00,"17,2","74,7",0,0
77,04-01-2017 04:00,18,"71,6","0,4",0
78,04-01-2017 05:00,"16,9","74,8",0,0
79,04-01-2017 06:00,"15,8","78,2",0,"7,3"
80,04-01-2017 07:00,"17,8","71,6","1,4","97,6"
81,04-01-2017 08:00,"21,7","58,7","1,1","292,1"
82,04-01-2017 09:00,"24,6","50,3","2,5","535,1"
83,04-01-2017 10:00,"26,7",44,"4,7","651,2"
84,04-01-2017 11:00,"28,7","39,6","6,1","835,8"
85,04-01-2017 12:00,29,40,"7,6","836,2"
86,04-01-2017 13:00,"28,7","38,8","9,4",915
87,04-01-2017 14:00,"28,4","39,7","10,1","877,3"
88,04-01-2017 15:00,27,"43,3","8,3","560,2"
89,04-01-2017 16:00,26,"45,3","7,6","422,2"
90,04-01-2017 17:00,"24,9","48,1","8,6","241,3"
91,04-01-2017 18:00,"22,5","55,4","7,6","90,5"
92,04-01-2017 19:00,21,"61,5","4,7","16,3"
93,04-01-2017 20:00,"20,1","67,7","2,2",0
94,04-01-2017 21:00,"19,7","69,9","1,8",0
95,04-01-2017 22:00,"18,8","71,7",0,0
96,04-01-2017 23:00,"18,6","72,2",0,0
97,05-01-2017 00:00,"19,1","70,1","1,4",0
98,05-01-2017 01:00,"19,2","68,6","2,2",0
99,05-01-2017 02:00,"19,1","69,4","0,4",0
100,05-01-2017 03:00,"18,9","69,5","0,7",0
101,05-01-2017 04:00,"19,6",67,"1,1",0
102,05-01-2017 05:00,"19,3","68,5",0,0
103,05-01-2017 06:00,"19,2","70,1",0,"3,9"
104,05-01-2017 07:00,"20,1","66,4",0,"68,8"
105,05-01-2017 08:00,"22,5","58,2","1,4","219,2"
106,05-01-2017 09:00,"24,7","51,6","4,3","451,5"
107,05-01-2017 10:00,"26,5","47,8","4,3",533
108,05-01-2017 11:00,28,"42,7","7,2","835,2"
109,05-01-2017 12:00,"28,7","41,8","7,2","908,7"
110,05-01-2017 13:00,29,"40,2","8,3","887,7"
111,05-01-2017 14:00,"28,3",42,"7,9","786,8"
112,05-01-2017 15:00,"28,4","42,7","7,9","762,2"
113,05-01-2017 16:00,"28,3","43,3","6,8","658,7"
114,05-01-2017 17:00,"26,2","50,1","6,5","263,1"
115,05-01-2017 18:00,"23,8",56,"6,8","87,7"
116,05-01-2017 19:00,"22,3","59,9",4,"10,2"
117,05-01-2017 20:00,"21,7","62,3","2,9",0
118,05-01-2017 21:00,"21,4","63,4","0,7",0
119,05-01-2017 22:00,"21,3","64,5",0,0
120,05-01-2017 23:00,"21,3","65,2",0,0
121,06-01-2017 00:00,"21,1","65,9",0,0
122,06-01-2017 01:00,"20,7","68,6",0,0
123,06-01-2017 02:00,"19,4","71,6",0,0
124,06-01-2017 03:00,"18,6","74,4",0,0
125,06-01-2017 04:00,"19,3","73,6","0,4",0
126,06-01-2017 05:00,"18,7","74,9",0,0
127,06-01-2017 06:00,"18,5","76,2",0,"9,1"
128,06-01-2017 07:00,"20,1","72,1",0,"82,6"
129,06-01-2017 08:00,"22,8","59,5","0,7","255,5"
130,06-01-2017 09:00,"25,3","52,2","1,8","308,9"
131,06-01-2017 10:00,"26,6","49,1",4,"394,7"
132,06-01-2017 11:00,"27,3","46,5","6,8","688,7"
133,06-01-2017 12:00,"29,6","40,5","7,9","920,2"
134,06-01-2017 13:00,"30,4","37,5","7,2","933,2"
135,06-01-2017 14:00,"30,7","37,7","8,6","681,3"
136,06-01-2017 15:00,"28,6","42,2",9,"500,6"
137,06-01-2017 16:00,28,"43,5","7,2","362,7"
138,06-01-2017 17:00,"26,6","48,2","7,2","214,4"
139,06-01-2017 18:00,"25,9","49,6","6,8","161,9"
140,06-01-2017 19:00,"24,2","54,6","2,5",19
141,06-01-2017 20:00,"23,3","57,8","1,1",0
142,06-01-2017 21:00,23,"58,5","1,1",0
143,06-01-2017 22:00,"22,7","59,9","0,4",0
144,06-01-2017 23:00,"22,4","61,1",0,0
145,07-01-2017 00:00,"21,6","63,9",0,0
146,07-01-2017 01:00,"19,8",70,0,0
147,07-01-2017 02:00,"18,6","73,6",0,0
148,07-01-2017 03:00,"18,9","74,2",0,0
149,07-01-2017 04:00,19,"73,7",0,0
150,07-01-2017 05:00,"17,6","76,2",0,0
151,07-01-2017 06:00,"17,9","76,9",0,"12,5"
152,07-01-2017 07:00,"20,6","66,4","1,8","128,6"
153,07-01-2017 08:00,24,"55,7","0,7","198,5"
154,07-01-2017 09:00,"24,9","53,1","2,9","254,4"
155,07-01-2017 10:00,"26,6","46,6","2,5","415,9"
156,07-01-2017 11:00,"29,9",37,"3,6",646
157,07-01-2017 12:00,"29,9","38,1","6,8","536,1"
158,07-01-2017 13:00,29,"38,5","7,9","497,3"
159,07-01-2017 14:00,"28,9","36,6","8,6","492,8"
160,07-01-2017 15:00,"29,3","35,5","8,6","461,3"
161,07-01-2017 16:00,"29,1","35,8","8,6","416,2"
162,07-01-2017 17:00,"29,6","34,3","8,3","373,9"
163,07-01-2017 18:00,"28,5","37,6","6,5","166,5"
164,07-01-2017 19:00,26,"44,5","2,2","21,9"
165,07-01-2017 20:00,"23,9","51,2","1,8",0
166,07-01-2017 21:00,22,"62,3","1,8",0
167,07-01-2017 22:00,"20,7","69,2",0,0
168,07-01-2017 23:00,"19,7","72,2",0,0
169,08-01-2017 00:00,"18,7","74,9",0,0
170,08-01-2017 01:00,"18,2","76,6",0,0
171,08-01-2017 02:00,18,"77,9",0,0
172,08-01-2017 03:00,18,"78,5",0,0
173,08-01-2017 04:00,"17,8",79,0,0
174,08-01-2017 05:00,"17,7","79,6",0,0
175,08-01-2017 06:00,"17,7","79,1",0,"4,2"
176,08-01-2017 07:00,"18,8","76,9",0,"64,4"
177,08-01-2017 08:00,"21,4","66,6","0,7","229,8"
178,08-01-2017 09:00,"24,6","55,2",4,"525,6"
179,08-01-2017 10:00,"27,4","46,8","5,4",683
180,08-01-2017 11:00,"28,2","45,4","6,1","598,5"
181,08-01-2017 12:00,"28,8","41,1","5,8","670,6"
182,08-01-2017 13:00,"29,3","36,9","6,1","551,2"
183,08-01-2017 14:00,"29,4","34,4","6,1","469,6"
184,08-01-2017 15:00,"30,5","31,9","8,3","680,3"
185,08-01-2017 16:00,"29,2","35,6","10,4","492,5"
186,08-01-2017 17:00,"27,9","38,8","8,3","335,9"
187,08-01-2017 18:00,"26,5","44,2","8,6","197,4"
188,08-01-2017 19:00,"23,4","55,1","5,8","29,4"
189,08-01-2017 20:00,"21,4","60,1","3,2",0
190,08-01-2017 21:00,"20,4","62,9","2,9",0
191,08-01-2017 22:00,20,"67,6","2,5",0
192,08-01-2017 23:00,"18,5","71,1",0,0
193,09-01-2017 00:00,"17,1","75,5",0,0
194,09-01-2017 01:00,"16,5","77,4",0,0
195,09-01-2017 02:00,"16,5","77,4",0,0
196,09-01-2017 03:00,"16,6","76,9",0,0
197,09-01-2017 04:00,"17,1","74,5","0,4",0
198,09-01-2017 05:00,"18,5","68,8","2,5",0
199,09-01-2017 06:00,19,"67,2","2,5","4,2"
200,09-01-2017 07:00,"19,5","65,9","1,8","49,9"
201,09-01-2017 08:00,"21,7",62,"1,4","111,9"
202,09-01-2017 09:00,"23,2","58,9","0,7","185,8"
203,09-01-2017 10:00,"24,3","54,7","2,2","277,9"
204,09-01-2017 11:00,"25,3","52,2",4,"378,6"
205,09-01-2017 12:00,"26,2","49,7","4,7","424,9"
206,09-01-2017 13:00,"26,1","48,7",5,"370,7"
207,09-01-2017 14:00,"26,3","48,1","7,2","585,9"
208,09-01-2017 15:00,28,"44,1","5,8","657,6"
209,09-01-2017 16:00,27,"46,8","6,5","361,6"
210,09-01-2017 17:00,"25,4","51,4","5,8","197,3"
211,09-01-2017 18:00,24,"55,7",5,"58,9"
212,09-01-2017 19:00,"22,9","58,7","2,9","3,1"
213,09-01-2017 20:00,"22,4","60,3","3,6",0
214,09-01-2017 21:00,"22,2","61,1","1,4",0
215,09-01-2017 22:00,"22,2","61,1","0,7",0
216,09-01-2017 23:00,"21,7",63,"1,1",0
217,10-01-2017 00:00,"20,9","65,9",0,0
218,10-01-2017 01:00,"20,5","66,9",0,0
219,10-01-2017 02:00,"20,2","68,5",0,0
220,10-01-2017 03:00,"20,1",69,0,0
221,10-01-2017 04:00,"20,2","68,6","0,4",0
222,10-01-2017 05:00,"20,2","69,6","0,4",0
223,10-01-2017 06:00,"20,2","69,2",0,"1,8"
224,10-01-2017 07:00,"20,7","67,6","1,1","22,3"
225,10-01-2017 08:00,"21,7",63,"1,4","77,3"
226,10-01-2017 09:00,"23,6","57,3","1,8","203,9"
227,10-01-2017 10:00,"26,4","48,5","5,4","595,3"
228,10-01-2017 11:00,"28,9","42,4","6,5","864,4"
229,10-01-2017 12:00,"29,7","39,1","7,2","847,9"
230,10-01-2017 13:00,"30,2","37,9","8,3","899,5"
231,10-01-2017 14:00,"30,8","36,6","8,6","888,5"
232,10-01-2017 15:00,"30,3","38,3","8,3",654
233,10-01-2017 16:00,28,"43,6","6,8","242,5"
234,10-01-2017 17:00,"26,2","46,8","4,3","131,1"
235,10-01-2017 18:00,"24,7","51,1","2,9","16,6"
236,10-01-2017 19:00,"23,9",54,"2,2","2,9"
237,10-01-2017 20:00,"23,2","57,7","3,2",0
238,10-01-2017 21:00,"22,5",60,"2,5",0
239,10-01-2017 22:00,"22,1","63,5","0,7",0
240,10-01-2017 23:00,"21,4","69,2","0,4",0
241,11-01-2017 00:00,"21,1","70,7",0,0
242,11-01-2017 01:00,"20,8","72,1",0,0
243,11-01-2017 02:00,"20,6",74,"0,4",0
244,11-01-2017 03:00,"20,3","75,6",0,0
245,11-01-2017 04:00,"20,1","76,3",0,0
246,11-01-2017 05:00,20,"75,9",0,0
247,11-01-2017 06:00,"19,9","77,1",0,"3,3"
248,11-01-2017 07:00,"20,2",76,"0,4","44,8"
249,11-01-2017 08:00,"21,5","70,1","1,4","157,2"
250,11-01-2017 09:00,"23,7","58,8","1,8","337,4"
251,11-01-2017 10:00,26,"48,7","2,5","508,7"
252,11-01-2017 11:00,"28,5","41,8","6,1","811,6"
253,11-01-2017 12:00,"29,8","38,5","7,9","916,7"
254,11-01-2017 13:00,"30,2","36,6","7,6","941,7"
255,11-01-2017 14:00,"30,6","34,8","9,4","924,2"
256,11-01-2017 15:00,"28,6","40,5","10,4","512,3"
257,11-01-2017 16:00,"26,5","44,5","7,6","326,9"
258,11-01-2017 17:00,"25,5","47,7","8,3","194,1"
259,11-01-2017 18:00,"23,7","55,3","9,7","100,7"
260,11-01-2017 19:00,"21,9","63,1","4,7","9,9"
261,11-01-2017 20:00,"21,2","69,1","1,4",0
262,11-01-2017 21:00,"20,8","75,3","0,7",0
263,11-01-2017 22:00,"20,6","75,1",0,0
264,11-01-2017 23:00,"20,5",75,0,0
265,12-01-2017 00:00,"20,5","74,4",0,0
266,12-01-2017 01:00,"20,4","74,5",0,0
267,12-01-2017 02:00,"19,8","76,1",0,0
268,12-01-2017 03:00,"19,5",76,0,0
269,12-01-2017 04:00,"19,9","76,4",0,0
270,12-01-2017 05:00,"19,5","77,7",0,0
271,12-01-2017 06:00,"19,3","78,8",0,"7,7"
272,12-01-2017 07:00,"20,6","73,6","0,7","82,2"
273,12-01-2017 08:00,"22,7",63,"1,1","228,8"
274,12-01-2017 09:00,"25,9","50,4","2,5","510,6"
275,12-01-2017 10:00,"28,8","41,5","4,7","687,1"
276,12-01-2017 11:00,"30,3","38,2","6,5","827,8"
277,12-01-2017 12:00,"30,1","39,5","7,2","674,6"
278,12-01-2017 13:00,"30,1","39,2","7,9","738,5"
279,12-01-2017 14:00,"29,3","41,6","7,6","389,2"
280,12-01-2017 15:00,30,"38,4",9,"631,8"
281,12-01-2017 16:00,"28,7","42,3","9,7","378,9"
282,12-01-2017 17:00,"28,3","41,5","9,7",473
283,12-01-2017 18:00,"26,2","49,6","7,6","139,4"
284,12-01-2017 19:00,"23,6","56,9","4,7","17,4"
285,12-01-2017 20:00,"22,3",61,"1,8",0
286,12-01-2017 21:00,"21,8","62,8","0,4",0
287,12-01-2017 22:00,"21,3","65,2",0,0
288,12-01-2017 23:00,"20,7","67,4",0,0
289,13-01-2017 00:00,"19,9","71,4",0,0
290,13-01-2017 01:00,"19,4","74,2",0,0
291,13-01-2017 02:00,"18,4","76,8",0,0
292,13-01-2017 03:00,"18,2","77,4",0,0
293,13-01-2017 04:00,"18,3","76,7",0,0
294,13-01-2017 05:00,"18,2","76,6",0,0
295,13-01-2017 06:00,"17,7","77,2",0,"5,3"
296,13-01-2017 07:00,"18,9","74,1",0,"65,3"
297,13-01-2017 08:00,22,"61,3","0,4","209,9"
298,13-01-2017 09:00,25,"51,3","2,5","514,5"
299,13-01-2017 10:00,"27,8","43,2","2,9","565,3"
300,13-01-2017 11:00,"30,1","37,8","6,8",874
301,13-01-2017 12:00,"29,8","39,1","8,3","828,7"
302,13-01-2017 13:00,"30,6","36,1","9,4","983,5"
303,13-01-2017 14:00,"31,3","34,8","10,1","727,7"
304,13-01-2017 15:00,"30,1","36,9","9,7","659,9"
305,13-01-2017 16:00,"29,3","39,3","9,4","477,5"
306,13-01-2017 17:00,"27,4",45,"7,9","257,6"
307,13-01-2017 18:00,"26,7","46,5","7,6","210,4"
308,13-01-2017 19:00,"24,2",56,"6,1","50,7"
309,13-01-2017 20:00,"22,1","61,9","3,6",0
310,13-01-2017 21:00,"21,9","62,7","2,9",0
311,13-01-2017 22:00,"21,3","65,3","0,7",0
312,13-01-2017 23:00,21,"66,5",0,0
313,14-01-2017 00:00,"20,6","66,9",0,0
314,14-01-2017 01:00,"20,2","68,8","0,4",0
315,14-01-2017 02:00,"20,1",69,"0,4",0
316,14-01-2017 03:00,"20,5","66,9",0,0
317,14-01-2017 04:00,"20,6","67,2",0,0
318,14-01-2017 05:00,"20,5","68,2","0,4",0
319,14-01-2017 06:00,"20,1","69,9",0,"4,5"
320,14-01-2017 07:00,"20,8","67,8","0,4","69,8"
321,14-01-2017 08:00,"23,2","57,8","0,7",281
322,14-01-2017 09:00,"26,1","49,3","4,7","448,6"
323,14-01-2017 10:00,"27,7","45,8","5,4","649,3"
324,14-01-2017 11:00,"28,2","45,4","6,5","662,5"
325,14-01-2017 12:00,"28,6","44,8","7,6","697,5"
326,14-01-2017 13:00,"28,8","44,5","9,4",785
327,14-01-2017 14:00,"29,6","42,2","7,6","768,8"
328,14-01-2017 15:00,"29,9","40,6","7,9","707,7"
329,14-01-2017 16:00,"29,9","41,3","8,3","622,1"
330,14-01-2017 17:00,"27,7","47,4","6,1","250,2"
331,14-01-2017 18:00,"25,9","51,2","3,2","88,6"
332,14-01-2017 19:00,"24,8","54,3","2,9","10,3"
333,14-01-2017 20:00,"23,9","57,5",4,0
334,14-01-2017 21:00,23,"59,3","3,6",0
